Player,Team,Age,GP,MP,Min,Screen Assists,Screen Assists PTS,,OFF Loose Balls Recovered,DEF Loose Balls Recovered,Loose Balls Recovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,Charges Drawn,Contested 2PT�Shots,Contested 3PT�Shots,Contested Shots
Oscar Tshiebwe,UTA,25,14,254.8,18.2,3.1,7.7,1.6,0.3,0.4,0.6,44.4,55.6,0.07,1.9,1.9,3.8
Day'Ron Sharpe,BKN,23,50,905,18.1,2,4.3,1.5,0.3,0.2,0.4,61.9,38.1,0.02,3,1.3,4.3
Lester Quinones,NOP,24,9,162.9,18.1,0,0,1.1,0.1,0,0.1,100,0,0.11,1.1,0.4,1.6
T.J. McConnell,IND,33,78,1411.8,18.1,0,0,2.1,0.2,0.3,0.5,40.5,59.5,0.1,0.6,1,1.6
Brandon Williams,DAL,25,26,468,18,0.2,0.4,1.9,0.4,0.4,0.8,50,50,0,1.6,0.9,2.5
Cam Whitmore,HOU,20,44,792,18,0.1,0.2,1.3,0.2,0.3,0.5,38.1,61.9,0,1,0.8,1.8
Jaden Hardy,DAL,22,47,841.3,17.9,0.1,0.2,1,0.3,0.3,0.5,48,52,0.04,0.8,0.7,1.5
Orlando Robinson,TOR,24,43,769.7,17.9,2,4.6,1.4,0.3,0.2,0.4,57.9,42.1,0,3.7,2.1,5.9
Oso Ighodaro,PHX,22,58,1038.2,17.9,2.4,5.4,1.2,0.2,0.2,0.3,52.6,47.4,0,2.9,1.4,4.3
Alec Burks,MIA,33,47,836.6,17.8,0.2,0.4,1,0.1,0.1,0.2,50,50,0,1.1,1.3,2.3
Moussa Diabat�,CHA,23,70,1239,17.7,1.9,4.5,1.7,0.4,0.1,0.5,75.7,24.3,0,3,1.7,4.7
Nicolas Batum,LAC,36,77,1362.9,17.7,0.5,1.1,1.3,0.1,0.2,0.3,35,65,0.01,1.6,1.7,3.3
Richaun Holmes,WAS,31,30,531,17.7,2.4,5.7,1,0.2,0.2,0.4,54.5,45.5,0,3.4,0.9,4.3
Mason Plumlee,PHX,35,74,1302.4,17.6,2.2,5,1.1,0.1,0.1,0.2,56.3,43.8,0.01,3.3,0.7,4
Robert Williams III,POR,27,19,334.4,17.6,2.1,5.1,1.7,0.2,0.1,0.3,66.7,33.3,0,3.7,1.5,5.3
Dalano Banton,POR,25,63,1102.5,17.5,0.1,0.3,1.4,0.1,0.1,0.2,42.9,57.1,0.02,1.6,1.2,2.8
Isaiah Mobley,PHI,25,1,17.4,17.4,2,6,2,0,0,0,0,0,0,7,3,10
Kyle Anderson,MIA,31,56,968.8,17.3,0.7,1.7,1.6,0.1,0.1,0.2,45.5,54.5,0.05,1.9,1.2,3.1
Chris Boucher,TOR,32,50,860,17.2,0.1,0.2,0.9,0.2,0.1,0.3,60,40,0.06,1.3,1.4,2.7
Jarace Walker,IND,21,66,1128.6,17.1,0.1,0.1,1.6,0.1,0.1,0.2,27.3,72.7,0,1.2,1.1,2.3
Mitchell Robinson,NYK,27,17,290.7,17.1,2.6,5.8,1.9,0.3,0.3,0.7,54.5,45.5,0,2.8,1.5,4.3
Adem Bona,PHI,22,53,901,17,2.1,5,1.1,0.1,0.1,0.3,50,50,0,3.9,1.4,5.4
Cole Swider,TOR,26,10,170,17,0.3,0.8,0.8,0,0.1,0.1,0,100,0.1,1.3,1.1,2.4
Delon Wright,NYK,33,37,629,17,0.1,0.3,1.8,0.1,0.2,0.3,38.5,61.5,0.03,0.9,0.8,1.7
Jalen Pickett,DEN,25,37,629,17,0.5,1.3,0.9,0.1,0.1,0.3,50,50,0,0.7,1.6,2.2
Ron Harper Jr.,DET,25,1,17,17,0,0,0,0,0,0,0,0,0,1,0,1
Shake Milton,LAL,28,46,782,17,0.3,0.7,1.2,0.2,0.1,0.2,72.7,27.3,0.09,0.7,0.8,1.5
Seth Curry,CHA,34,58,980.2,16.9,0.4,0.9,0.9,0.2,0.2,0.4,43.5,56.5,0.03,0.4,0.8,1.3
Isaiah Jackson,IND,23,5,84,16.8,1.8,4.2,1.2,0.2,0.2,0.4,50,50,0,3.8,1.4,5.2
Jaylin Williams,OKC,22,47,784.9,16.7,1.4,3.2,1.2,0.2,0.1,0.3,71.4,28.6,0.26,3.8,2.3,6.1
Trevelin Queen,ORL,28,25,417.5,16.7,0.3,0.8,3.1,0.3,0.2,0.5,58.3,41.7,0,2,1.4,3.5
Ajay Mitchell,OKC,22,36,597.6,16.6,0.1,0.4,1.3,0.2,0.1,0.3,54.5,45.5,0.08,1.4,0.8,2.3
Daniel Theis,NOP,33,37,614.2,16.6,2.6,6.2,1.4,0.2,0.2,0.5,50,50,0.08,2.3,1.1,3.4
GG Jackson,MEM,20,27,448.2,16.6,0.2,0.4,0.9,0.2,0.1,0.4,60,40,0,1.6,1.2,2.9
Simone Fontecchio,DET,29,72,1195.2,16.6,0.5,1.1,1.1,0.1,0.2,0.3,40,60,0.01,1.3,1.1,2.4
Josh Christopher,MIA,23,3,49.5,16.5,0.3,0.7,2.3,0,1,1,0,100,0,1.7,1.3,3
Kris Murray,POR,24,61,1006.5,16.5,0.2,0.6,1,0.2,0.2,0.5,50,50,0.07,1.6,0.5,2.1
Trayce Jackson-Davis,GSW,25,58,957,16.5,2.3,5.8,0.8,0.3,0.1,0.4,81.8,18.2,0,4.2,1.5,5.7
Kenrich Williams,OKC,30,68,1115.2,16.4,0.5,1.2,1.6,0.1,0.2,0.3,31.8,68.2,0.16,1.1,1,2.1
Lindy Waters III,DET,27,46,754.4,16.4,0.3,0.7,1.3,0.1,0.1,0.2,50,50,0.09,1.2,1.1,2.3
Pelle Larsson,MIA,24,47,770.8,16.4,0.3,0.8,1.3,0.1,0.2,0.4,41.2,58.8,0.04,2,1.5,3.5
Quenton Jackson,IND,26,22,360.8,16.4,0.2,0.6,1.9,0.1,0.4,0.4,11.1,88.9,0,0.9,1.4,2.4
